"annotation_id","annotator","created_at","id","input_measure","input_measure_mark","lead_time","output_measure","output_measure_mark","production_country_mark","sentiment","updated_at"
721,"2","2024-11-14T15:15:04.345692Z",7616,"Россия",1,17.631,"Великобритания",0,"","2","2024-11-14T15:17:39.912941Z"
722,"2","2024-11-14T15:15:22.698390Z",7617,"Франция",0,3.597,"Международный",0,"","0","2024-11-14T15:15:22.698390Z"
723,"2","2024-11-14T15:19:36.498928Z",7618,"Россия",1,3.2,"Размер Джинсов (W)",0,"","0","2024-11-14T15:19:57.917395Z"
724,"2","2024-11-14T15:19:44.635895Z",7619,"Россия",1,2.187,"Великобритания",0,"","2","2024-11-14T15:19:44.635895Z"
725,"2","2024-11-14T15:19:52.365081Z",7620,"Россия",1,1.684,"Италия",0,"","2","2024-11-14T15:19:52.365081Z"
726,"2","2024-11-14T15:20:06.025375Z",7621,"Россия",1,1.216,"Сша",0,"","2","2024-11-14T15:20:06.025375Z"
727,"2","2024-11-14T15:20:11.307756Z",7622,"Россия",1,1.656,"Япония",0,"","2","2024-11-14T15:20:11.307756Z"
728,"2","2024-11-14T15:20:20.129623Z",7623,"Сша/Великобритания",0,1.42,"Международный",0,"","0","2024-11-14T15:20:20.129623Z"
729,"2","2024-11-14T15:20:31.089535Z",7624,"Великобритания",0,1.692,"Длина Стопы (См)",0,"","0","2024-11-14T15:20:31.089535Z"
730,"2","2024-11-14T15:20:37.083351Z",7625,"Россия",1,1.142,"Франция",0,"","2","2024-11-14T15:20:37.083351Z"
731,"2","2024-11-14T15:20:42.109748Z",7626,"Россия",1,1.272,"Размер Джинсов (W)",0,"","2","2024-11-14T15:20:42.109748Z"
732,"2","2024-11-14T15:20:47.145987Z",7627,"Россия",1,1.387,"Япония",0,"","2","2024-11-14T15:20:47.145987Z"
733,"2","2024-11-14T15:20:51.593778Z",7628,"Россия",1,1.343,"Международный",0,"","2","2024-11-14T15:20:51.594778Z"
734,"2","2024-11-14T15:20:56.511505Z",7629,"Россия",1,1.231,"Международный",0,"","2","2024-11-14T15:20:56.511505Z"
736,"2","2024-11-14T15:21:06.566409Z",7630,"Россия",1,1.362,"Международный",0,"","2","2024-11-14T15:21:06.566409Z"
735,"2","2024-11-14T15:21:02.427475Z",7631,"Россия",1,1.379,"Великобритания",0,"","2","2024-11-14T15:21:02.427475Z"
737,"2","2024-11-14T15:21:12.351652Z",7632,"Россия",1,1.55,"Международный",0,"","2","2024-11-14T15:21:12.351652Z"
738,"2","2024-11-14T15:21:17.312220Z",7633,"Международный",0,1.142,"Россия",1,"","1","2024-11-14T15:21:17.312220Z"
739,"2","2024-11-14T15:21:23.426757Z",7634,"Сша/Великобритания",0,2.067,"Россия/Европа",1,"","1","2024-11-14T15:21:23.426757Z"
740,"2","2024-11-14T15:21:29.498504Z",7635,"Россия",1,1.244,"Великобритания",0,"","2","2024-11-14T15:21:29.498504Z"
741,"2","2024-11-14T15:21:34.295037Z",7636,"Россия",1,1.382,"Германия",0,"","2","2024-11-14T15:21:34.295037Z"
742,"2","2024-11-14T15:21:40.140711Z",7637,"Международный",0,1.633,"Россия/Европа",1,"","1","2024-11-14T15:21:40.140711Z"
743,"2","2024-11-14T15:21:45.311318Z",7638,"Россия",1,1.308,"Сша",0,"","2","2024-11-14T15:21:45.311318Z"
744,"2","2024-11-14T15:22:03.707644Z",7639,"Россия",1,1.473,"Длина Стопы (См)",0,"","2","2024-11-14T15:22:03.707644Z"
745,"2","2024-11-14T15:22:08.837330Z",7640,"Сша/Великобритания",0,1.445,"Россия/Европа",1,"","1","2024-11-14T15:22:08.837330Z"
746,"2","2024-11-14T15:22:15.250084Z",7641,"Россия",1,1.78,"Европа",0,"","2","2024-11-14T15:22:15.250084Z"
747,"2","2024-11-14T15:22:20.848626Z",7642,"Россия",1,1.278,"Длина Стопы (См)",0,"","2","2024-11-14T15:22:20.848626Z"
748,"2","2024-11-14T15:22:26.152246Z",7643,"Россия",1,1.214,"Италия",0,"","2","2024-11-14T15:22:26.152246Z"
749,"2","2024-11-14T15:22:35.176423Z",7644,"Россия",1,5.626,"Международный",0,"","2","2024-11-14T15:22:35.176423Z"
